rank,title,artist
1,Love Lee,AKMU (악뮤)
2,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
3,Seven (feat. Latto) - Clean Ver.,정국
4,후라이의 꿈,AKMU (악뮤)
5,Super Shy,NewJeans
6,ETA,NewJeans
7,Fast Forward,전소미
8,헤어지자 말해요,박재정
9,사막에서 꽃을 피우듯,우디 (Woody)
10,I Love My Body,화사 (HWASA)
11,I AM,IVE (아이브)
12,퀸카 (Queencard),(여자)아이들
13,Bubble,STAYC(스테이씨)
14,Hype boy,NewJeans
15,Steal The Show (From “엘리멘탈”),Lauv
16,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
17,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
18,Spicy,aespa
19,Kitsch,IVE (아이브)
20,Ditto,NewJeans
21,New Jeans,NewJeans
22,CAKE,ITZY (있지)
23,Still With You,정국
24,Summer (Feat. BE’O (비오)),Paul Blanco
1,Love Lee,AKMU (악뮤)
25,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
26,사건의 지평선,윤하 (YOUNHA)
27,나에게 그대만이,탑현
28,OMG,NewJeans
29,After LIKE,IVE (아이브)
30,Attention,NewJeans
31,너의 모든 순간,성시경
32,심(心),DK(디셈버)
33,사랑은 늘 도망가,임영웅
34,LOVE DIVE,IVE (아이브)
35,I Don't Think That I Like Her,Charlie Puth
36,사랑인가 봐,멜로망스
2,Seven (feat. Latto) - Clean Ver.,정국
3,Super Shy,NewJeans
4,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
5,ETA,NewJeans
6,후라이의 꿈,AKMU (악뮤)
7,Fast Forward,전소미
8,헤어지자 말해요,박재정
9,사막에서 꽃을 피우듯,우디 (Woody)
10,I AM,IVE (아이브)
11,퀸카 (Queencard),(여자)아이들
12,Bubble,STAYC(스테이씨)
13,Steal The Show (From “엘리멘탈”),Lauv
14,Hype boy,NewJeans
15,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
16,Spicy,aespa
17,I Love My Body,화사 (HWASA)
1,Super Shy,NewJeans
1,Love Lee,AKMU (악뮤)
37,사랑하지 않아서 그랬어,임한별
38,Vancouver 2,BIG Naughty (서동현)
39,Love Me Again,V
40,꽃,지수 (JISOO)
41,손오공,세븐틴 (SEVENTEEN)
42,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush
43,Dangerously,Charlie Puth
44,I WANT,IVE (아이브)
45,Cool With You,NewJeans
46,Teddy Bear,STAYC(스테이씨)
