Rank,Title,Artist
1,Love Lee,AKMU (악뮤)
2,후라이의 꿈,AKMU (악뮤)
3,Seven (feat. Latto) - Clean Ver.,정국
4,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
5,Super Shy,NewJeans
6,Fast Forward,전소미
7,ETA,NewJeans
8,사막에서 꽃을 피우듯,우디 (Woody)
9,I Love My Body,화사 (HWASA)
10,헤어지자 말해요,박재정
11,I AM,IVE (아이브)
12,사랑은 늘 도망가,임영웅
13,Bubble,STAYC(스테이씨)
14,퀸카 (Queencard),(여자)아이들
15,모래 알갱이,임영웅
16,3D (feat. Jack Harlow),정국
17,Still With You,정국
18,우리들의 블루스,임영웅
19,다시 만날 수 있을까,임영웅
20,Hype boy,NewJeans
21,Steal The Show (From “엘리멘탈”),Lauv
22,이제 나만 믿어요,임영웅
23,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
24,무지개,임영웅
25,Either Way,IVE (아이브)
26,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
27,아버지,임영웅
28,London Boy,임영웅
29,Spicy,aespa
30,Polaroid,임영웅
31,Kitsch,IVE (아이브)
32,Get A Guitar,RIIZE
33,Love Me Again,V
34,인생찬가,임영웅
35,Ditto,NewJeans
36,A bientot,임영웅
37,손이 참 곱던 그대,임영웅
38,사랑해 진짜,임영웅
39,New Jeans,NewJeans
40,CAKE,ITZY (있지)
41,연애편지,임영웅
42,Dynamite,방탄소년단
43,Summer (Feat. BE’O (비오)),Paul Blanco
44,보금자리,임영웅
45,KIDDING,이세계아이돌
46,After LIKE,IVE (아이브)
47,Slow Dancing,V
48,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
49,사건의 지평선,윤하 (YOUNHA)
50,LOVE DIVE,IVE (아이브)
51,OMG,NewJeans
52,Vancouver 2,BIG Naughty (서동현)
53,너의 모든 순간,성시경
54,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
55,Attention,NewJeans
56,나에게 그대만이,탑현
57,사랑인가 봐,멜로망스
58,I WANT,IVE (아이브)
59,I Don't Think That I Like Her,Charlie Puth
60,Butter,방탄소년단
61,Rainy Days,V
62,봄날,방탄소년단
63,심(心),DK(디셈버)
64,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
65,손오공,세븐틴 (SEVENTEEN)
66,꽃,지수 (JISOO)
67,Like Crazy,지민
68,사랑하지 않아서 그랬어,임한별
69,Dangerously,Charlie Puth
70,별 떨어진다 (I Do),디오 (D.O.)
71,물론,허각
72,Take Two,방탄소년단
73,Teddy Bear,STAYC(스테이씨)
74,Cool With You,NewJeans
75,Baggy Jeans,NCT U
76,주저하는 연인들을 위해,잔나비
77,취중고백,김민석 (멜로망스)
78,폼미쳤다,영탁
79,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
80,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
81,사람 Pt.2 (feat. 아이유),Agust D
82,그중에 그대를 만나,김호중
83,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush
84,STAY,The Kid LAROI
85,다정히 내 이름을 부르면,경서예지
86,Somebody,디오 (D.O.)
87,미친 사랑의 노래,김연지
88,해요 (2022),#안녕
89,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
90,ANTIFRAGILE,LE SSERAFIM (르세라핌)
91,민들레 (single ver.),우효
92,Candy,NCT DREAM
93,Better Things,aespa
94,잠깐 시간 될까,이무진
95,사랑의 바보,제이세라
96,on the street (with J. Cole),j-hope
97,Permission to Dance,방탄소년단
98,사랑..그게 뭔데,지아
99,Cupid,FIFTY FIFTY
100,ASAP,NewJeans
