Rank,Title,Artist
1,Love Lee,AKMU (악뮤)
2,후라이의 꿈,AKMU (악뮤)
3,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
4,Seven (feat. Latto) - Clean Ver.,정국
5,Super Shy,NewJeans
6,Fast Forward,전소미
7,ETA,NewJeans
8,사막에서 꽃을 피우듯,우디 (Woody)
9,헤어지자 말해요,박재정
10,I Love My Body,화사 (HWASA)
11,I AM,IVE (아이브)
12,Bubble,STAYC(스테이씨)
13,퀸카 (Queencard),(여자)아이들
14,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
15,Steal The Show (From “엘리멘탈”),Lauv
16,Hype boy,NewJeans
17,Either Way,IVE (아이브)
18,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
19,Spicy,aespa
20,3D (feat. Jack Harlow),정국
21,Get A Guitar,RIIZE
22,Still With You,정국
23,Ditto,NewJeans
24,Kitsch,IVE (아이브)
25,New Jeans,NewJeans
26,CAKE,ITZY (있지)
27,Summer (Feat. BE’O (비오)),Paul Blanco
28,사건의 지평선,윤하 (YOUNHA)
29,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
30,너의 모든 순간,성시경
31,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
32,사랑은 늘 도망가,임영웅
33,Vancouver 2,BIG Naughty (서동현)
34,After LIKE,IVE (아이브)
35,OMG,NewJeans
36,나에게 그대만이,탑현
37,사랑인가 봐,멜로망스
38,LOVE DIVE,IVE (아이브)
39,I Don't Think That I Like Her,Charlie Puth
40,심(心),DK(디셈버)
41,Attention,NewJeans
42,사랑하지 않아서 그랬어,임한별
43,I WANT,IVE (아이브)
44,KIDDING,이세계아이돌
45,Love Me Again,V
46,물론,허각
47,Dangerously,Charlie Puth
48,꽃,지수 (JISOO)
49,손오공,세븐틴 (SEVENTEEN)
50,주저하는 연인들을 위해,잔나비
51,취중고백,김민석 (멜로망스)
52,Baggy Jeans,NCT U
53,Cool With You,NewJeans
54,Teddy Bear,STAYC(스테이씨)
55,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
56,별 떨어진다 (I Do),디오 (D.O.)
57,다정히 내 이름을 부르면,경서예지
58,Dynamite,방탄소년단
59,해요 (2022),#안녕
60,미친 사랑의 노래,김연지
61,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush
62,STAY,The Kid LAROI
63,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
64,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
65,민들레 (single ver.),우효
66,모래 알갱이,임영웅
67,ANTIFRAGILE,LE SSERAFIM (르세라핌)
68,우리들의 블루스,임영웅
69,Better Things,aespa
70,Somebody,디오 (D.O.)
71,Slow Dancing,V
72,사랑의 바보,제이세라
73,사랑..그게 뭔데,지아
74,잠깐 시간 될까,이무진
75,다시 만날 수 있을까,임영웅
76,Butter,방탄소년단
77,Candy,NCT DREAM
78,봄날,방탄소년단
79,Cupid,FIFTY FIFTY
80,너 밖엔 없더라,케이시 (Kassy)
81,이제 나만 믿어요,임영웅
82,ASAP,NewJeans
83,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
84,Rainy Days,V
85,첫 키스에 내 심장은 120BPM,경서
86,That's Hilarious,Charlie Puth
87,가을 타나 봐,바이브
88,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
89,무지개,임영웅
90,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz)
91,TOMBOY,(여자)아이들
92,사람 Pt.2 (feat. 아이유),Agust D
93,아버지,임영웅
94,달빛에 그려지는,미연 ((여자)아이들)
95,Like Crazy,지민
96,London Boy,임영웅
97,ISTJ,NCT DREAM
98,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL)
99,빛이 나는 너에게,던 (DAWN)
100,Take Two,방탄소년단
