Rank,Title,Artist
1,Love Lee,AKMU (악뮤)
2,Seven (feat. Latto) - Clean Ver.,정국
3,후라이의 꿈,AKMU (악뮤)
4,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
5,Super Shy,NewJeans
6,Fast Forward,전소미
7,ETA,NewJeans
8,3D (feat. Jack Harlow),정국
9,I Love My Body,화사 (HWASA)
10,사막에서 꽃을 피우듯,우디 (Woody)
11,Still With You,정국
12,Bubble,STAYC(스테이씨)
13,Love Me Again,V
14,Either Way,IVE (아이브)
15,Slow Dancing,V
16,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
17,Get A Guitar,RIIZE
18,KIDDING,이세계아이돌
19,Rainy Days,V
20,New Jeans,NewJeans
21,CAKE,ITZY (있지)
22,폼미쳤다,영탁
23,Vancouver 2,BIG Naughty (서동현)
24,I WANT,IVE (아이브)
25,별 떨어진다 (I Do),디오 (D.O.)
26,Somebody,디오 (D.O.)
27,Baggy Jeans,NCT U
28,Cool With You,NewJeans
29,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush
30,미친 사랑의 노래,김연지
31,Better Things,aespa
32,여섯 번째 여름,PLAVE
33,ISTJ,NCT DREAM
34,OVER,이세계아이돌
35,값,영탁
36,ASAP,NewJeans
37,우길걸우겨,영탁
38,로렐라이,영탁
39,Superhero,이세계아이돌
40,풀리나,영탁
41,올려,영탁
42,"이별해, 예쁘게",영탁
43,돌아가네,영탁
44,톡톡톡,영탁
45,I Just Love Ya,PLAVE
46,Dear. PLLI,PLAVE
47,니편이야,영탁
48,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL)
49,달빛에 그려지는,미연 ((여자)아이들)
50,왜요 왜요 왜?,PLAVE
51,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz)
52,Yogurt Shake,NCT DREAM
53,In Bloom,ZEROBASEONE (제로베이스원)
54,Another World,이세계아이돌
55,각자도생,영탁
56,Paint The Town Red,Doja Cat
57,Memories,RIIZE
58,트월ㅋ (Prod. Czaer),미연 ((여자)아이들)
59,뭣 같아,BOYNEXTDOOR
60,밤 (Night),dori
61,Happiness,"허용별 (허각, 신용재, 임한별)"
62,고속도로 로망스,숲튽훈
63,기적 (Wonder),디오 (D.O.)
64,내일의 우리 (Ordinary Days),디오 (D.O.)
65,Never Ending Story,김민석 (멜로망스)
66,그런 일은,Paul Blanco
67,Blue,V
68,이럴거면,거미
69,For Us,V
70,독백,정동원
71,Lost,디오 (D.O.)
72,The View,디오 (D.O.)
73,오늘 헤어졌어요 (Feat. 다나카(TANAKA)),임한별
74,Back for More (with Anitta),투모로우바이투게더
75,한 개도 몰라 (Feat. meenoi),릴러말즈 (Leellamarz)
76,예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스)
77,만약에,정동원
78,Do It Like That,투모로우바이투게더
79,Good & Great,키 (KEY)
80,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
81,Cream Soda,EXO
82,아름다운 구속,NewJeans
83,Seven (feat. Latto) - Explicit Ver.,정국
84,Like We Just Met,NCT DREAM
85,그 겨울의 찻집,정동원
86,Sugarcoat (NATTY Solo),KISS OF LIFE
87,Get Up,NewJeans
88,언젠간 괜찮아질 이야기,헤이즈 (Heize)
89,꼬마인형,정동원
90,Lost (Acoustic Ver.),디오 (D.O.)
91,3D - Alternate Ver.,정국
92,때,정동원
93,Love U Like That,Lauv
94,추억의 소야곡,정동원
95,그냥 그렇게 됐어,지아
96,HARD,SHINee (샤이니)
97,잊혀지다,나비 (Navi)
98,사랑이라 쓰고 이별이라 읽어,송하예
99,My You,정국
100,파랑 (Blue Wave),NCT DREAM
