Rank,Title,Artist
1,Love Lee,AKMU (악뮤)
2,Seven (feat. Latto) - Clean Ver.,정국
3,Super Shy,NewJeans
4,ETA,NewJeans
5,후라이의 꿈,AKMU (악뮤)
6,Fast Forward,전소미
7,헤어지자 말해요,박재정
8,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
9,사막에서 꽃을 피우듯,우디 (Woody)
10,I AM,IVE (아이브)
11,퀸카 (Queencard),(여자)아이들
12,Bubble,STAYC(스테이씨)
13,Steal The Show (From “엘리멘탈”),Lauv
14,Hype boy,NewJeans
15,Spicy,aespa
16,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
17,New Jeans,NewJeans
18,Kitsch,IVE (아이브)
19,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
20,Ditto,NewJeans
21,I Love My Body,화사 (HWASA)
22,Summer (Feat. BE’O (비오)),Paul Blanco
23,CAKE,ITZY (있지)
24,Still With You,정국
25,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
26,사건의 지평선,윤하 (YOUNHA)
27,나에게 그대만이,탑현
28,OMG,NewJeans
29,Attention,NewJeans
30,After LIKE,IVE (아이브)
31,LOVE DIVE,IVE (아이브)
32,너의 모든 순간,성시경
33,심(心),DK(디셈버)
34,I Don't Think That I Like Her,Charlie Puth
35,사랑은 늘 도망가,임영웅
36,사랑인가 봐,멜로망스
37,손오공,세븐틴 (SEVENTEEN)
38,사랑하지 않아서 그랬어,임한별
39,꽃,지수 (JISOO)
40,Cool With You,NewJeans
41,Dangerously,Charlie Puth
42,Love Me Again,V
43,Teddy Bear,STAYC(스테이씨)
44,모래 알갱이,임영웅
45,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
46,I WANT,IVE (아이브)
47,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
48,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
49,물론,허각
50,취중고백,김민석 (멜로망스)
51,Dynamite,방탄소년단
52,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
53,사랑의 바보,제이세라
54,미친 사랑의 노래,김연지
55,STAY,The Kid LAROI
56,ANTIFRAGILE,LE SSERAFIM (르세라핌)
57,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush
58,다정히 내 이름을 부르면,경서예지
59,해요 (2022),#안녕
60,잠깐 시간 될까,이무진
61,우리들의 블루스,임영웅
62,민들레 (single ver.),우효
63,Cupid,FIFTY FIFTY
64,Baggy Jeans,NCT U
65,KIDDING,이세계아이돌
66,사랑..그게 뭔데,지아
67,첫 키스에 내 심장은 120BPM,경서
68,ASAP,NewJeans
69,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL)
70,Candy,NCT DREAM
71,Butter,방탄소년단
72,주저하는 연인들을 위해,잔나비
73,That's Hilarious,Charlie Puth
74,다시 만날 수 있을까,임영웅
75,TOMBOY,(여자)아이들
76,봄날,방탄소년단
77,ISTJ,NCT DREAM
78,이제 나만 믿어요,임영웅
79,Take Two,방탄소년단
80,Get A Guitar,RIIZE
81,Rainy Days,V
82,Allergy,(여자)아이들
83,Better Things,aespa
84,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
85,Heaven(2023),임재현
86,빛이 나는 너에게,던 (DAWN)
87,That’s Not How This Works (feat. Dan + Shay),Charlie Puth
88,Monologue,테이
89,무지개,임영웅
90,사람 Pt.2 (feat. 아이유),Agust D
91,In Bloom,ZEROBASEONE (제로베이스원)
92,Yogurt Shake,NCT DREAM
93,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
94,아버지,임영웅
95,달빛에 그려지는,미연 ((여자)아이들)
96,Nxde,(여자)아이들
97,Like Crazy,지민
98,London Boy,임영웅
99,Slow Dancing,V
100,Polaroid,임영웅
