Rank,Title,Artist
1,Love Lee,AKMU (악뮤)
2,후라이의 꿈,AKMU (악뮤)
3,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
4,Seven (feat. Latto) - Clean Ver.,정국
5,Super Shy,NewJeans
6,ETA,NewJeans
7,Fast Forward,전소미
8,사막에서 꽃을 피우듯,우디 (Woody)
9,헤어지자 말해요,박재정
10,I Love My Body,화사 (HWASA)
11,I AM,IVE (아이브)
12,퀸카 (Queencard),(여자)아이들
13,Bubble,STAYC(스테이씨)
14,Hype boy,NewJeans
15,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
16,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
17,Steal The Show (From “엘리멘탈”),Lauv
18,Spicy,aespa
19,Still With You,정국
20,Kitsch,IVE (아이브)
21,Ditto,NewJeans
22,New Jeans,NewJeans
23,Either Way,IVE (아이브)
24,CAKE,ITZY (있지)
25,Summer (Feat. BE’O (비오)),Paul Blanco
26,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
27,사건의 지평선,윤하 (YOUNHA)
28,After LIKE,IVE (아이브)
29,사랑은 늘 도망가,임영웅
30,너의 모든 순간,성시경
31,OMG,NewJeans
32,LOVE DIVE,IVE (아이브)
33,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
34,나에게 그대만이,탑현
35,Get A Guitar,RIIZE
36,Vancouver 2,BIG Naughty (서동현)
37,심(心),DK(디셈버)
38,Attention,NewJeans
39,I Don't Think That I Like Her,Charlie Puth
40,사랑인가 봐,멜로망스
41,I WANT,IVE (아이브)
42,사랑하지 않아서 그랬어,임한별
43,Love Me Again,V
44,꽃,지수 (JISOO)
45,KIDDING,이세계아이돌
46,손오공,세븐틴 (SEVENTEEN)
47,Dangerously,Charlie Puth
48,Cool With You,NewJeans
49,Teddy Bear,STAYC(스테이씨)
50,물론,허각
51,취중고백,김민석 (멜로망스)
52,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush
53,주저하는 연인들을 위해,잔나비
54,Dynamite,방탄소년단
55,Baggy Jeans,NCT U
56,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
57,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
58,다정히 내 이름을 부르면,경서예지
59,미친 사랑의 노래,김연지
60,모래 알갱이,임영웅
61,STAY,The Kid LAROI
62,해요 (2022),#안녕
63,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
64,우리들의 블루스,임영웅
65,ANTIFRAGILE,LE SSERAFIM (르세라핌)
66,민들레 (single ver.),우효
67,사랑의 바보,제이세라
68,별 떨어진다 (I Do),디오 (D.O.)
69,잠깐 시간 될까,이무진
70,Slow Dancing,V
71,Better Things,aespa
72,사랑..그게 뭔데,지아
73,다시 만날 수 있을까,임영웅
74,Butter,방탄소년단
75,Cupid,FIFTY FIFTY
76,Candy,NCT DREAM
77,이제 나만 믿어요,임영웅
78,봄날,방탄소년단
79,ASAP,NewJeans
80,첫 키스에 내 심장은 120BPM,경서
81,Somebody,디오 (D.O.)
82,Rainy Days,V
83,That's Hilarious,Charlie Puth
84,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
85,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL)
86,TOMBOY,(여자)아이들
87,무지개,임영웅
88,ISTJ,NCT DREAM
89,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
90,사람 Pt.2 (feat. 아이유),Agust D
91,아버지,임영웅
92,Monologue,테이
93,빛이 나는 너에게,던 (DAWN)
94,London Boy,임영웅
95,달빛에 그려지는,미연 ((여자)아이들)
96,Heaven(2023),임재현
97,Like Crazy,지민
98,Take Two,방탄소년단
99,That’s Not How This Works (feat. Dan + Shay),Charlie Puth
100,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz)
